,pclass,sex,age,sibsp,parch,fare,cabin,embarked,title
226,2,male,19.0,0,0,10.5,,S,Mr
94,3,male,59.0,0,0,7.25,,S,Mr
515,1,male,47.0,0,0,34.0208,D46,S,Mr
637,2,male,31.0,1,1,26.25,,S,Mr
280,3,male,65.0,0,0,7.75,,Q,Mr
286,3,male,30.0,0,0,9.5,,S,Mr
589,3,male,,0,0,8.05,,S,Mr
826,3,male,,0,0,56.4958,,S,Mr
444,3,male,,0,0,8.1125,,S,Mr
184,3,female,4.0,0,2,22.025,,S,Miss
371,3,male,18.0,1,0,6.4958,,S,Mr
776,3,male,,0,0,7.75,F38,Q,Mr
867,1,male,31.0,0,0,50.4958,A24,S,Mr
275,1,female,63.0,1,0,77.9583,D7,S,Miss
829,1,female,62.0,0,0,80.0,B28,,Mrs
182,3,male,9.0,4,2,31.3875,,S,Master
32,3,female,,0,0,7.75,,Q,Miss
80,3,male,22.0,0,0,9.0,,S,Mr
307,1,female,17.0,1,0,108.9,C65,C,Mrs
11,1,female,58.0,0,0,26.55,C103,S,Miss
43,2,female,3.0,1,2,41.5792,,C,Miss
86,3,male,16.0,1,3,34.375,,S,Mr
36,3,male,,0,0,7.2292,,C,Mr
871,1,female,47.0,1,1,52.5542,D35,S,Mrs
58,2,female,5.0,1,2,27.75,,S,Miss
41,2,female,27.0,1,0,21.0,,S,Mrs
411,3,male,,0,0,6.8583,,Q,Mr
562,2,male,28.0,0,0,13.5,,S,Mr
209,1,male,40.0,0,0,31.0,A31,C,Mr
148,2,male,36.5,0,2,26.0,F2,S,Mr
739,3,male,,0,0,7.8958,,S,Mr
594,2,male,37.0,1,0,26.0,,S,Mr
123,2,female,32.5,0,0,13.0,E101,S,Miss
734,2,male,23.0,0,0,13.0,,S,Mr
574,3,male,16.0,0,0,8.05,,S,Mr
98,2,female,34.0,0,1,23.0,,S,Mrs
377,1,male,27.0,0,2,211.5,C82,C,Mr
130,3,male,33.0,0,0,7.8958,,C,Mr
699,3,male,42.0,0,0,7.65,F,S,Mr
23,1,male,28.0,0,0,35.5,A6,S,Mr
773,3,male,,0,0,7.225,,C,Mr
555,1,male,62.0,0,0,26.55,,S,Mr
370,1,male,25.0,1,0,55.4417,E50,C,Mr
512,1,male,36.0,0,0,26.2875,E25,S,Mr
383,1,female,35.0,1,0,52.0,,S,Mrs
201,3,male,,8,2,69.55,,S,Mr
368,3,female,,0,0,7.75,,Q,Miss
554,3,female,22.0,0,0,7.775,,S,Miss
610,3,female,39.0,1,5,31.275,,S,Mrs
387,2,female,36.0,0,0,13.0,,S,Miss
292,2,male,36.0,0,0,12.875,D,C,Mr
690,1,male,31.0,1,0,57.0,B20,S,Mr
256,1,female,,0,0,79.2,,C,Mrs
606,3,male,30.0,0,0,7.8958,,S,Mr
197,3,male,42.0,0,1,8.4042,,S,Mr
95,3,male,,0,0,8.05,,S,Mr
854,2,female,44.0,1,0,26.0,,S,Mrs
836,3,male,21.0,0,0,8.6625,,S,Mr
169,3,male,28.0,0,0,56.4958,,S,Mr
581,1,female,39.0,1,1,110.8833,C68,C,Mrs
305,1,male,0.92,1,2,151.55,C22,S,Master
560,3,male,,0,0,7.75,,Q,Mr
373,1,male,22.0,0,0,135.6333,,C,Mr
719,3,male,33.0,0,0,7.775,,S,Mr
791,2,male,16.0,0,0,26.0,,S,Mr
227,3,male,20.5,0,0,7.25,,S,Mr
660,1,male,50.0,2,0,133.65,,S,Other
143,3,male,19.0,0,0,6.75,,Q,Mr
180,3,female,,8,2,69.55,,S,Miss
131,3,male,20.0,0,0,7.05,,S,Mr
842,1,female,30.0,0,0,31.0,,C,Miss
47,3,female,,0,0,7.75,,Q,Miss
774,2,female,54.0,1,3,23.0,,S,Mrs
324,3,male,,8,2,69.55,,S,Mr
203,3,male,45.5,0,0,7.225,,C,Mr
84,2,female,17.0,0,0,10.5,,S,Miss
633,1,male,,0,0,0.0,,S,Mr
565,3,male,24.0,2,0,24.15,,S,Mr
611,3,male,,0,0,7.05,,S,Mr
398,2,male,23.0,0,0,10.5,,S,Other
91,3,male,20.0,0,0,7.8542,,S,Mr
82,3,female,,0,0,7.7875,,Q,Miss
430,1,male,28.0,0,0,26.55,C52,S,Mr
779,1,female,43.0,0,1,211.3375,B3,S,Mrs
119,3,female,2.0,4,2,31.275,,S,Miss
291,1,female,19.0,1,0,91.0792,B49,C,Mrs
57,3,male,28.5,0,0,7.2292,,C,Mr
321,3,male,27.0,0,0,7.8958,,S,Mr
257,1,female,30.0,0,0,86.5,B77,S,Miss
840,3,male,20.0,0,0,7.925,,S,Mr
442,3,male,25.0,1,0,7.775,,S,Mr
42,3,male,,0,0,7.8958,,C,Mr
617,3,female,26.0,1,0,16.1,,S,Mrs
388,3,male,,0,0,7.7292,,Q,Mr
335,3,male,,0,0,7.8958,,S,Mr
273,1,male,37.0,0,1,29.7,C118,C,Mr
756,3,male,28.0,0,0,7.7958,,S,Mr
488,3,male,30.0,0,0,8.05,,S,Mr
550,1,male,17.0,0,2,110.8833,C70,C,Mr
53,2,female,29.0,1,0,26.0,,S,Mrs
830,3,female,15.0,1,0,14.4542,,C,Mrs
128,3,female,,1,1,22.3583,F,C,Miss
802,1,male,11.0,1,2,120.0,B96,S,Master
28,3,female,,0,0,7.8792,,Q,Miss
183,2,male,1.0,2,1,39.0,F4,S,Master
459,3,male,,0,0,7.75,,Q,Mr
510,3,male,29.0,0,0,7.75,,Q,Mr
675,3,male,18.0,0,0,7.775,,S,Mr
151,1,female,22.0,1,0,66.6,C2,S,Mrs
244,3,male,30.0,0,0,7.225,,C,Mr
714,2,male,52.0,0,0,13.0,,S,Mr
543,2,male,32.0,1,0,26.0,,S,Mr
544,1,male,50.0,1,0,106.425,C86,C,Mr
639,3,male,,1,0,16.1,,S,Mr
697,3,female,,0,0,7.7333,,Q,Miss
265,2,male,36.0,0,0,10.5,,S,Mr
288,2,male,42.0,0,0,13.0,,S,Mr
423,3,female,28.0,1,1,14.4,,S,Mrs
147,3,female,9.0,2,2,34.375,,S,Miss
659,1,male,58.0,0,2,113.275,D48,C,Mr
797,3,female,31.0,0,0,8.6833,,S,Mrs
858,3,female,24.0,0,3,19.2583,,C,Mrs
177,1,female,50.0,0,0,28.7125,C49,C,Miss
99,2,male,34.0,1,0,26.0,,S,Mr
850,3,male,4.0,4,2,31.275,,S,Master
448,3,female,5.0,2,1,19.2583,,C,Miss
431,3,female,,1,0,16.1,,S,Mrs
847,3,male,35.0,0,0,7.8958,,C,Mr
709,3,male,,1,1,15.2458,,C,Master
755,2,male,0.67,1,1,14.5,,S,Master
115,3,male,21.0,0,0,7.925,,S,Mr
777,3,female,5.0,0,0,12.475,,S,Miss
72,2,male,21.0,0,0,73.5,,S,Mr
845,3,male,42.0,0,0,7.55,,S,Mr
537,1,female,30.0,0,0,106.425,,C,Miss
677,3,female,18.0,0,0,9.8417,,S,Miss
849,1,female,,1,0,89.1042,C92,C,Mrs
874,2,female,28.0,1,0,24.0,,C,Mrs
174,1,male,56.0,0,0,30.6958,A7,C,Mr
87,3,male,,0,0,8.05,,S,Mr
551,2,male,27.0,0,0,26.0,,S,Mr
486,1,female,35.0,1,0,90.0,C93,S,Mrs
705,2,male,39.0,0,0,26.0,,S,Mr
314,2,male,43.0,1,1,26.25,,S,Mr
396,3,female,31.0,0,0,7.8542,,S,Miss
600,2,female,24.0,2,1,27.0,,S,Mrs
472,2,female,33.0,1,2,27.75,,S,Mrs
70,2,male,32.0,0,0,10.5,,S,Mr
599,1,male,49.0,1,0,56.9292,A20,C,Mr
804,3,male,27.0,0,0,6.975,,S,Mr
754,2,female,48.0,1,2,65.0,,S,Mrs
277,2,male,,0,0,0.0,,S,Mr
723,2,male,50.0,0,0,13.0,,S,Mr
9,2,female,14.0,1,0,30.0708,,C,Mrs
359,3,female,,0,0,7.8792,,Q,Miss
707,1,male,42.0,0,0,26.2875,E24,S,Mr
763,1,female,36.0,1,2,120.0,B96,S,Mrs
835,1,female,39.0,1,1,83.1583,E49,C,Miss
192,3,female,19.0,1,0,7.8542,,S,Miss
629,3,male,,0,0,7.7333,,Q,Mr
559,3,female,36.0,1,0,17.4,,S,Mrs
684,2,male,60.0,1,1,39.0,,S,Mr
